S.no,States/Uts,Pedestrian - Male - 2014,Pedestrian - Female - 2014,Pedestrian - Total - 2014,Bycycles - Male - 2014,Bycycles - Female - 2014,Bycycles - Total - 2014,"Motor Cycle, Scooters - Male - 2014","Motor Cycle, Scooters - Female - 2014","Motor Cycle, Scooters - Total - 2014",Auto Rickshaw - Male - 2014,Auto Rickshaw - Female - 2014,Auto Rickshaw - Total - 2014,"Car,Taxies - Male - 2014","Car,Taxies - Female - 2014","Car,Taxies - Total - 2014",Trucks - Male - 2014,Trucks - Female - 2014,Trucks - Total - 2014,Buses - Male - 2014,Buses - Female - 2014,Buses - Total - 2014,Other M. Vehicle - Male - 2014,Other M. Vehicle - Female - 2014,Other M. Vehicle - Total - 2014,Others* - Male - 2014,Others* - Female - 2014,Others* - Total - 2014
1,Andhra Pradesh,57,15,72,185,45,230,1493,226,1719,414,50,464,379,56,435,568,34,602,161,24,185,3164,970,4134,45,22,67
2,Arunachal Pradesh,0,0,0,0,0,0,20,3,23,15,3,18,20,5,25,17,3,20,8,3,11,16,6,22,0,0,0
3,Assam,49,4,53,27,1,28,504,33,537,61,14,75,432,101,533,426,10,436,179,68,247,493,108,601,12,0,12
4,Bihar,109,35,144,119,32,151,760,60,820,86,58,144,633,155,788,783,136,919,420,123,543,929,82,1011,325,68,393
5,Chhattisgarh,73,7,80,33,10,43,981,145,1126,31,6,37,580,68,648,710,34,744,155,34,189,983,161,1144,11,0,11
6,Goa,56,12,68,6,0,6,171,18,189,0,1,1,16,1,17,3,0,3,0,0,0,1,0,1,5,0,5
7,Gujarat,592,122,714,118,5,123,1470,219,1689,482,114,596,1785,287,2072,1227,151,1378,333,105,438,640,160,800,133,12,145
8,Haryana,119,85,204,203,111,314,697,290,987,135,63,198,287,172,459,266,81,347,198,73,271,412,163,575,685,443,1128
9,Himachal Pradesh,0,0,0,0,0,0,165,33,198,7,0,7,391,59,450,105,11,116,292,54,346,78,4,82,0,0,0
10,Jammu & Kashmir,15,10,25,5,0,5,211,25,236,41,21,62,224,34,258,105,3,108,143,34,177,102,19,121,0,0,0
11,Jharkhand,62,12,74,31,1,32,620,98,718,176,36,212,333,55,388,361,33,394,266,90,356,243,27,270,104,80,184
12,Karnataka,1265,193,1458,280,38,318,2713,278,2991,459,100,559,1310,226,1536,1177,149,1326,721,109,830,641,118,759,632,43,675
13,Kerala,979,296,1275,121,5,126,1400,182,1582,236,39,275,317,114,431,129,17,146,143,30,173,21,4,25,16,0,16
14,Madhya Pradesh,1459,308,1767,161,40,201,2448,395,2843,160,36,196,922,210,1132,624,90,714,286,76,362,652,204,856,408,90,498
15,Maharashtra,469,123,592,291,42,333,3982,623,4605,726,156,882,1610,208,1818,1568,100,1668,543,555,1098,1090,134,1224,465,118,583
16,Manipur,0,0,0,0,0,0,30,3,33,5,0,5,27,3,30,42,5,47,10,0,10,38,5,43,0,0,0
17,Meghalaya,4,2,6,0,0,0,2,2,4,5,2,7,18,4,22,21,5,26,14,9,23,46,7,53,0,0,0
18,Mizoram,10,7,17,0,0,0,17,2,19,0,0,0,27,9,36,25,3,28,2,1,3,0,0,0,0,0,0
19,Nagaland,5,1,6,0,0,0,23,2,25,12,3,15,0,0,0,13,3,16,19,0,19,0,0,0,0,0,0
20,Orissa,232,33,265,109,12,121,932,120,1052,167,28,195,569,109,678,613,47,660,317,47,364,518,50,568,26,2,28
21,Punjab,294,45,339,209,18,227,1617,333,1950,90,23,113,707,105,812,310,25,335,304,60,364,343,42,385,82,14,96
22,Rajasthan,848,173,1021,122,16,138,2192,324,2516,153,19,172,2019,347,2366,1664,90,1754,613,102,715,1378,152,1530,70,7,77
23,Sikkim,0,0,0,0,0,0,10,0,10,0,0,0,35,14,49,0,0,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,1987,580,2567,433,31,464,4590,643,5233,231,108,339,2422,483,2905,1015,118,1133,1647,336,1983,369,116,485,64,17,81
25,Telangana,0,0,0,84,199,283,1896,743,2639,1001,75,1076,200,32,232,911,54,965,907,28,935,544,22,566,135,75,210
26,Tripura,19,3,22,1,0,1,31,5,36,17,2,19,36,8,44,31,4,35,7,2,9,19,3,22,0,0,0
27,Uttarakhand,109,8,117,42,1,43,201,45,246,35,10,45,143,49,192,67,5,72,71,28,99,55,9,64,0,0,0
28,Uttar Pradesh,331,267,598,407,310,717,2603,2003,4606,823,357,1180,2080,1320,3400,1771,334,2105,957,189,1146,865,335,1200,995,340,1335
29,West Bengal,0,0,0,38,0,38,1458,145,1603,214,0,214,776,107,883,998,99,1097,1017,146,1163,672,201,873,4,0,4
30,A & N Islands,10,0,10,0,0,0,9,0,9,1,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0
31,Chandigarh,0,0,0,15,1,16,40,10,50,6,1,7,7,0,7,0,0,0,3,2,5,34,10,44,0,2,2
32,D & N Haveli,17,3,20,3,2,5,24,7,31,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,2,2,1,0,1,6,1,7,1,0,1,0,1,1,0,0,0,1,0,1,1,1,2,0,0,0
34,Delhi,634,115,749,63,1,64,530,39,569,35,1,36,47,5,52,13,0,13,4,0,4,146,16,162,22,0,22
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,51,14,65,9,0,9,51,5,56,1,0,1,3,0,3,0,0,0,5,1,6,6,2,8,3,0,3
Total,Total,9855,2475,12330,3116,921,4037,33897,7060,40957,5827,1327,7154,18357,4348,22705,15563,1644,17207,9746,2330,12076,14499,3131,17630,4242,1333,5575
